images,healthy,scab,frog_eye_leaf_spot,rust,complex,powdery_mildew
a8ab965f868fc44c.jpg,1,0,0,0,0,0
a5d8924f7fad18a0.jpg,1,0,0,0,0,0
fab3f2b1c0d2a982.jpg,0,1,0,0,0,0
d9b283cd98b19d13.jpg,0,1,0,0,0,0
852979c129dde25d.jpg,0,0,1,0,0,0
b76b84406eb75545.jpg,1,0,0,0,0,0
c1a972977e88b49c.jpg,0,0,0,0,1,0
ba3457285a4655e7.jpg,0,1,0,0,0,0
f2d5d2adc18c6986.jpg,0,1,0,0,0,0
e0f996008ddabf0d.jpg,0,0,1,0,0,0
bb2ad8e69a846699.jpg,1,0,0,0,0,0
c225cf8aba4eb952.jpg,1,0,0,0,0,0
bfc86719271047f1.jpg,0,1,0,0,0,0
f5b1809b4c867c6e.jpg,1,0,0,0,0,0
9f1061a618f3fcc9.jpg,0,0,0,0,0,1
dab12ed9c1ce0ce1.jpg,0,0,1,0,0,0
9742c28e983ef46b.jpg,0,1,1,0,0,0
ca23cf4e3ce73430.jpg,0,1,0,0,0,0
aa1620058fbfbcad.jpg,0,1,0,0,0,0
c1b7659f9a9214d2.jpg,0,1,0,0,0,0
a5a6c896c8d591fa.jpg,1,0,0,0,0,0
de27e42a4465a67c.jpg,0,0,0,1,0,0
c037227490feddcc.jpg,0,1,0,0,0,0
85613ea3387e9696.jpg,0,1,0,0,0,0
beedc893a5b106c8.jpg,0,0,1,0,0,0
8be8264e0dfce985.jpg,0,1,0,0,0,0
85947d1e914af03f.jpg,0,0,0,1,0,0
d4c367739964b80e.jpg,0,1,1,0,0,0
af8743fa46a09c1d.jpg,1,0,0,0,0,0
e1de8cd263a05667.jpg,0,0,1,0,0,0
f8acd0f20f077076.jpg,0,1,0,0,0,0
fd7b82b8c3cf8180.jpg,0,0,0,0,1,0
da44867e8f1e4768.jpg,1,0,0,0,0,0
8d97f883e8a4d34c.jpg,0,1,0,0,0,0
fa9093959bab2057.jpg,0,0,0,0,0,1
b918d330cfd1e760.jpg,0,0,0,1,0,0
de9811dfd8c91b22.jpg,0,1,0,0,0,0
c5b244902fcf3f8c.jpg,0,0,1,0,0,0
b92c45d624eb366c.jpg,0,1,0,0,0,0
8bc8cb9dae2a1ab2.jpg,0,1,0,0,0,0
